electoral_division,state,gender,age,age_lower,age_upper,eligible,participant
Cunningham,New South Wales Divisions,female,20-24,20,24,"5,237","4,256"
Cunningham,New South Wales Divisions,female,25-29,25,29,"4,560","3,614"
Cunningham,New South Wales Divisions,female,30-34,30,34,"4,352","3,489"
Cunningham,New South Wales Divisions,female,35-39,35,39,"4,283","3,398"
Cunningham,New South Wales Divisions,female,40-44,40,44,"4,686","3,807"
Cunningham,New South Wales Divisions,female,45-49,45,49,"4,739","3,955"
Cunningham,New South Wales Divisions,female,50-54,50,54,"4,700","4,015"
Cunningham,New South Wales Divisions,female,55-59,55,59,"4,857","4,238"
Cunningham,New South Wales Divisions,female,60-64,60,64,"4,358","3,865"
Cunningham,New South Wales Divisions,female,65-69,65,69,"3,756","3,393"
Cunningham,New South Wales Divisions,female,70-74,70,74,"3,249","2,925"
Cunningham,New South Wales Divisions,female,75-79,75,79,"2,587","2,287"
Cunningham,New South Wales Divisions,female,80-84,80,84,"1,988","1,697"
Cunningham,New South Wales Divisions,female,85+,85,125,"2,447","1,913"
Cunningham,New South Wales Divisions,male,18-19,18,19,"1,718","1,323"
Cunningham,New South Wales Divisions,male,20-24,20,24,"5,360","3,947"
Cunningham,New South Wales Divisions,male,25-29,25,29,"4,774","3,427"
Cunningham,New South Wales Divisions,male,30-34,30,34,"4,387","3,218"
Cunningham,New South Wales Divisions,male,35-39,35,39,"4,328","3,166"
Cunningham,New South Wales Divisions,male,40-44,40,44,"4,613","3,469"
Cunningham,New South Wales Divisions,male,45-49,45,49,"4,704","3,656"
Cunningham,New South Wales Divisions,male,50-54,50,54,"4,620","3,708"
Cunningham,New South Wales Divisions,male,55-59,55,59,"4,769","3,961"
Cunningham,New South Wales Divisions,male,60-64,60,64,"4,097","3,589"
Cunningham,New South Wales Divisions,male,65-69,65,69,"3,558","3,174"
Cunningham,New South Wales Divisions,male,70-74,70,74,"2,972","2,685"
Cunningham,New South Wales Divisions,male,75-79,75,79,"2,159","1,962"
